Name,BSE Code,NSE Code,Industry
Tata Power Co.,500400,TATAPOWER,Power Generation And Supply
Tata Technolog.,544028,TATATECH,Computers - Software - Medium / Small
Tatva Chintan,543321,TATVA,Chemicals
TBO Tek,544174,TBOTEK,Travel Agencies
TCI Express,540212,TCIEXP,Miscellaneous
TCS,532540,TCS,Computers - Software - Large
TD Power Systems,533553,TDPOWERSYS,Electric Equipment
Team Lease Serv.,539658,TEAMLEASE,Miscellaneous
Tech Mahindra,532755,TECHM,Computers - Software - Large
Techno Elec.Engg,542141,TECHNOE,Engineering - Turnkey Services
Technocraf.Inds.,532804,TIIL,Steel - Medium / Small
Tega Inds.,543413,TEGA,Engineering
Tejas Networks,540595,TEJASNET,Telecommunications - Equipment
Texmaco Infrast.,505400,TEXINFRA,Construction
Texmaco Rail,533326,TEXRAIL,Engineering
TGV Sraac,507753,,Chlor Alkali / Soda Ash
Thangamayil Jew.,533158,THANGAMAYL,Diamond Cutting / Jewellery
The Anup Enginee,542460,ANUP,Engineering
The Hi-Tech Gear,522073,HITECHGEAR,Auto Ancillaries
The Invest.Trust,530023,THEINVEST,Finance & Investments
The Ramco Cement,500260,RAMCOCEM,Cement - South India
Thejo Engg.,,THEJO,Engineering
Themis Medicare,530199,THEMISMED,Pharmaceuticals - Indian - Bulk Drugs & Formln
Thermax,500411,THERMAX,Electric Equipment
Thomas Cook (I),500413,THOMASCOOK,Travel Agencies
Thyrocare Tech.,539871,THYROCARE,Healthcare
Tilaknagar Inds.,507205,TI,Breweries & Distilleries
Time Technoplast,532856,TIMETECHNO,Plastics Products
Timex Group,500414,,Miscellaneous
Timken India,522113,TIMKEN,Bearings
Tinna Rubber,530475,,Miscellaneous
Tips Music,532375,TIPSMUSIC,Entertainment / Electronic Media Software
Titagarh Rail,532966,TITAGARH,Engineering
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Formulations
Torrent Power,532779,TORNTPOWER,Power Generation And Supply
Tour. Fin. Corp.,526650,TFCILTD,Finance - Term-Lending Institutions
Trent,500251,TRENT,Trading
Triven.Engg.Ind.,532356,TRIVENI,Sugar
Triveni Turbine,533655,TRITURBINE,Electric Equipment
TTK Healthcare,507747,TTKHLTCARE,Diversified - Medium / Small
TTK Prestige,517506,TTKPRESTIG,Domestic Appliances
Tube Investments,540762,TIINDIA,Steel - Large
Tuticorin Alkali,506808,,Chlor Alkali / Soda Ash
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds
TVS Supply,543965,TVSSCS,Miscellaneous
Uflex,500148,UFLEX,Packaging
Ujaas Energy,533644,UEL,Electric Equipment
Ultramarine Pig.,506685,,Dyes And Pigments
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India
Unichem Labs.,506690,UNICHEMLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln
Unicommerce,544227,UNIECOM,Computers - Software - Medium / Small
Uniparts India,543689,UNIPARTS,Engineering
Uniphos Enter.,500429,UNIENTER,Trading
United Breweries,532478,UBL,Breweries & Distilleries
United Spirits,532432,UNITDSPR,Breweries & Distilleries
Universal Cables,504212,UNIVCABLES,Cables - Power
Uno Minda,532539,UNOMINDA,Auto Ancillaries
Updater Services,543996,UDS,Miscellaneous
UPL,512070,UPL,Pesticides / Agrochemicals - Indian
Usha Martin,517146,USHAMART,Steel - Medium / Small
UTI AMC,543238,UTIAMC,Finance & Investments
V-Guard Industri,532953,VGUARD,Electric Equipment
Va Tech Wabag,533269,WABAG,Engineering - Turnkey Services
Vaibhav Global,532156,VAIBHAVGBL,Diamond Cutting / Jewellery
Vakrangee,511431,VAKRANGEE,Computers - Software - Medium / Small
Valor Estate,533160,DBREALTY,Construction
Vantage Knowledg,539761,,Miscellaneous
Vardhman Special,534392,VSSL,Steel - Medium / Small
Varroc Engineer,541578,VARROC,Auto Ancillaries
Varun Beverages,540180,VBL,Food - Processing - Indian
Vasa Denticity,,DENTALKART,Trading
Vedant Fashions,543463,MANYAVAR,Textiles - Products
Veedol Corporat,590005,VEEDOL,Chemicals
Veefin Solutions,543931,,Computers - Software - Medium / Small
Venky's (India),523261,VENKEYS,Miscellaneous
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small
Veranda Learning,543514,VERANDA,Miscellaneous
Veritas (India),512229,,Trading
Vesuvius India,520113,VESUVIUS,Refractories / Intermediates
Vidhi Specialty,531717,VIDHIING,Dyes And Pigments
Vijaya Diagnost.,543350,VIJAYA,Healthcare
Vilas Transcore,,VILAS,Steel - Medium / Small
Vimta Labs,524394,VIMTALABS,Miscellaneous
Vinati Organics,524200,VINATIORGA,Chemicals
Vindhya Telelink,517015,VINDHYATEL,Construction
Vintage Coffee,538920,VINCOFE,Trading
Vinyas Innovativ,,VINYAS,Electronics - Components
Virtuoso Optoel.,543597,,Domestic Appliances
Vishal Mega Mart,544307,VMM,Trading
Vishnu Chemicals,516072,VISHNU,Chemicals
Vishnu Prakash R,543974,VPRPL,Construction
VL E-Governance,543958,VLEGOV,Computers - Software - Medium / Small
VLS Finance,511333,VLSFINANCE,Finance & Investments
Volt.Transform.,532757,VOLTAMP,Electric Equipment
Voltas,500575,VOLTAS,Air-conditioners
VRL Logistics,539118,VRLLOG,Miscellaneous
VST Industries,509966,VSTIND,Cigarettes
Waaree Energies,544277,WAAREEENER,Electric Equipment
Waaree Renewab.,534618,,Engineering - Turnkey Services
Walchan. Inds.,507410,WALCHANNAG,Engineering
Wealth First Por,,WEALTH,Finance & Investments
Websol Energy,517498,WEBELSOLAR,Electric Equipment
Welspun Corp,532144,WELCORP,Steel - Large
Welspun Enterp,532553,WELENT,Construction
Welspun Living,514162,WELSPUNLIV,Textiles - Products
West Coast Paper,500444,WSTCSTPAPR,Paper
Western Carriers,544258,WCIL,Miscellaneous
Wheels India,590073,WHEELS,Auto Ancillaries
Whirlpool India,500238,WHIRLPOOL,Domestic Appliances
Windlas Biotech,543329,WINDLAS,Pharmaceuticals - Indian - Formulations
Windsor Machines,522029,WINDMACHIN,Engineering
Wipro,507685,WIPRO,Computers - Software - Large
Wockhardt,532300,WOCKPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Wonder Electric.,543449,WEL,Electric Equipment
Wonderla Holiday,538268,WONDERLA,Recreation / Amusement Parks
Worth Investment,538451,,Finance & Investments
WPIL,505872,,Engineering - Turnkey Services
XPRO India,590013,XPROINDIA,Packaging
Yatharth Hospit.,543950,YATHARTH,Healthcare
Yuken India,522108,YUKEN,Engineering
Zaggle Prepaid,543985,ZAGGLE,Computers - Software - Medium / Small
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software
Zen Technologies,533339,ZENTEC,Miscellaneous
Zensar Tech.,504067,ZENSARTECH,Computers - Software - Medium / Small
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries
Zinka Logistics,544288,BLACKBUCK,Miscellaneous
Zomato Ltd,543320,ZOMATO,Miscellaneous
Zuari Industries,500780,ZUARIIND,Sugar
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln
Zydus Wellness,531335,ZYDUSWELL,Food - Processing - Indian
