Name,BSE Code,NSE Code,Industry
Blue Jet Health,544009,BLUEJET,Pharmaceuticals - Indian - Bulk Drugs & Formln
Blue Star,500067,BLUESTARCO,Air-conditioners
BMW Industries,542669,,Steel - Medium / Small
Bombay Burmah,501425,BBTC,Auto Ancillaries
Bombay Dyeing,500020,BOMDYEING,Textiles - Manmade
Bombay Super Hyb,,BSHSL,Miscellaneous
Bondada Engineer,543971,,Engineering - Turnkey Services
Borosil,543212,BOROLTD,Glass & Glass Products
Borosil Renew.,502219,BORORENEW,Glass & Glass Products
Bosch,500530,BOSCHLTD,Auto Ancillaries
Brainbees Solut.,544226,FIRSTCRY,Trading
Brigade Enterpr.,532929,BRIGADE,Construction
Brightcom Group,532368,BCG,Computers - Software - Medium / Small
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC
BSE,,BSE,Miscellaneous
Butterfly Gan Ap,517421,BUTTERFLY,Domestic Appliances
C D S L,,CDSL,Miscellaneous
C P C L,500110,CHENNPETRO,Refineries
C.E. Info System,543425,MAPMYINDIA,Computers - Software - Medium / Small
C2C Advanced,,C2C,Engineering
Camlin Fine,532834,CAMLINFINE,Chemicals
Campus Activewe.,543523,CAMPUS,Leather / Leather Products
Cams Services,543232,CAMS,Miscellaneous
Cantabil Retail,533267,CANTABIL,Textiles - Products
Capacit'e Infra.,540710,CAPACITE,Construction
Capital India,530879,,Finance & Investments
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels
CARE Ratings,534804,CARERATING,Miscellaneous
Cartrade Tech,543333,CARTRADE,Miscellaneous
Carysil,524091,CARYSIL,Ceramics - Tiles / Sanitaryware
Castrol India,500870,CASTROLIND,Chemicals
CEAT,500878,CEATLTD,Tyres
Ceigall India,544223,CEIGALL,Construction
Ceinsys Tech,538734,,Computers - Software - Medium / Small
Cellecor Gadgets,,CELLECOR,Trading
Cello World,544012,CELLO,Trading
Centum Electron,517544,CENTUM,Electronics - Components
Century Enka,500280,CENTENKA,Textiles - Manmade
Cera Sanitary.,532443,CERA,Ceramics - Tiles / Sanitaryware
CESC,500084,CESC,Power Generation And Supply
CFF Fluid,543920,,Engineering
CG Power & Ind,500093,CGPOWER,Electric Equipment
Chalet Hotels,542399,CHALET,Hotels
Chambal Fert.,500085,CHAMBLFERT,Fertilizers
Chemfab Alka.,541269,CHEMFAB,Chemicals
Choice Intl.,531358,CHOICEIN,Finance & Investments
CIAN Agro,519477,,Solvent Extraction
CIE Automotive,532756,CIEINDIA,Castings & Forgings
Cigniti Tech.,534758,CIGNITITEC,Computers - Software - Medium / Small
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln
CMS Info Systems,543441,CMSINFO,Miscellaneous
Coal India,533278,COALINDIA,Mining / Minerals / Metals
Cochin Shipyard,540678,COCHINSHIP,Miscellaneous
Coforge,532541,COFORGE,Computers - Software - Medium / Small
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational
Concord Biotech,543960,CONCORDBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln
Confidence Petro,526829,CONFIPET,Miscellaneous
Container Corpn.,531344,CONCOR,Miscellaneous
Control Print,522295,CONTROLPR,Computers - Hardware
Coromandel Inter,506395,COROMANDEL,Fertilizers
Cosmo First,508814,COSMOFIRST,Packaging
Craftsman Auto,543276,CRAFTSMAN,Auto Ancillaries
Creative Newtech,,CREATIVE,Trading
CRISIL,500092,CRISIL,Miscellaneous
Crompton Gr. Con,539876,CROMPTON,Electric Equipment
Cropster Agro,523105,,Trading
Cube Highways,543899,CUBEINVIT,Construction
Cummins India,500480,CUMMINSIND,Engines
Cupid,530843,CUPID,Miscellaneous
Cyient,532175,CYIENT,Computers - Software - Medium / Small
Cyient DLM,543933,CYIENTDLM,Electronics - Components
D B Corp,533151,DBCORP,Entertainment / Electronic Media Software
D-Link India,533146,DLINKINDIA,Trading
D.P. Abhushan,544161,DPABHUSHAN,Diamond Cutting / Jewellery
Dabur India,500096,DABUR,Personal Care - Indian
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India
Danish Power,,DANISH,Electric Equipment
Data Pattern,543428,DATAPATTNS,Electronics - Components
Datamatics Glob.,532528,DATAMATICS,Computers - Software - Medium / Small
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega
DCM Shriram Inds,523369,DCMSRIND,Sugar
DCW,500117,DCW,Petrochemicals
DCX Systems,543650,DCXINDIA,Electronics - Components
DDev Plastiks,543547,,Chemicals
DEE Development,544198,DEEDEV,Steel - Medium / Small
Deep Industries,543288,DEEPINDS,Oil Drilling / Allied Services
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals
Deepak Nitrite,506401,DEEPAKNTR,Chemicals
Delhivery,543529,DELHIVERY,Miscellaneous
Den Networks,533137,DEN,Entertainment / Electronic Media Software
Dhani Services,532960,DHANI,Finance & Investments
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian
Dhunseri Vent.,523736,DVL,Trading
Diffusion Eng,544264,DIFFNKG,Electrodes - Welding Equipment
Dilip Buildcon,540047,DBL,Construction
Divgi Torq,543812,DIVGIITTS,Auto Ancillaries
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs
Dixon Technolog.,540699,DIXON,Electronics - Consumer
DLF,532868,DLF,Construction
DMCC Speciality,506405,DMCC,Chemicals
Dodla Dairy,543306,DODLA,Food - Processing - Indian
Dolat Algotech,505526,DOLATALGO,Finance & Investments
Dollar Industrie,541403,DOLLAR,Textiles - Products
Dolphin Offshore,522261,DOLPHIN,Oil Drilling / Allied Services
Doms Industries,544045,DOMS,Printing & Stationery
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln
Dreamfolks Servi,543591,DREAMFOLKS,Miscellaneous
Dredging Corpn.,523618,DREDGECORP,Miscellaneous
Dwarikesh Sugar,532610,DWARKESH,Sugar
Dynacons Sys.,532365,DSSL,Computers - Software - Medium / Small
Dynamic Cables,540795,DYCL,Cables - Power
E2E Networks,,E2E,Computers - Software - Medium / Small
Easy Trip Plann.,543272,EASEMYTRIP,Travel Agencies
eClerx Services,532927,ECLERX,Computers - Software - Medium / Small
Eco Recyc.,530643,,Miscellaneous
Ecos (India),544239,ECOSMOBLTY,Travel Agencies
EFC (I),512008,,Construction
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds
EID Parry,500125,EIDPARRY,Sugar
EIH,500840,EIHOTEL,Hotels
EIH Assoc.Hotels,523127,EIHAHOTELS,Hotels
Elecon Engg.Co,505700,ELECON,Engineering
Electronics Mart,543626,EMIL,Trading
Electrost.Cast.,500128,ELECTCAST,Castings & Forgings
Elgi Equipments,522074,ELGIEQUIP,Compressors / Drilling Equipment
Elin Electronics,543725,ELIN,Electronics - Components
Elpro Internatio,504000,,Construction
Emami,531162,EMAMILTD,Personal Care - Indian
Embassy Off.REIT,542602,EMBASSY,Construction
Emcure Pharma,544210,EMCURE,Pharmaceuticals - Indian - Bulk Drugs & Formln
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries
