ticker,Industry,Market Capitalization,candle_score_rolled,candle_score
NMDC,MINING / MINERALS / METALS,56584.1,"[-1.875, -1.8499999999999996, -1.25, -2.25, -1.7999999999999998, -0.75]",-0.75
NOCIL,CHEMICALS,3056.55,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
NORTHARC,FINANCE & INVESTMENTS,3118.69,"[0.75, 0.375, 1.875, 1.0499999999999998, 0.75, 0.375]",0.375
NOVARTIND,PHARMACEUTICALS,1975.28,"[0.0, -1.5, -1.0499999999999998, -0.75, -0.375, -0.375]",-0.375
NPST,COMPUTERS,4471.32,"[0.0, 0.0, 1.5, 1.0499999999999998, 0.75, -1.125]",-1.125
NRBBEARING,BEARINGS,2119.23,"[-1.125, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
NSIL,FINANCE & INVESTMENTS,3732.66,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
NSLNISP,STEEL,10274.67,"[-1.75, -3.0, -2.3, -1.375, -1.0, -0.375]",-0.375
NTPC,POWER GENERATION AND SUPPLY,356352.55,"[-3.125, -0.875, -2.7, -1.625, -1.5, -0.25]",-0.25
NTPCGREEN,POWER GENERATION AND SUPPLY,83420.69,"[-2.3, -1.4749999999999996, -2.875, -3.55, -2.9, -1.375]",-1.375
NUCLEUS,COMPUTERS,2235.56,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
NUVAMA,FINANCE & INVESTMENTS,20648.33,"[1.25, 0.7, 0.5, -2.25, -2.5, -4.45]",-4.45
NUVOCO,CEMENT,11420.09,"[-0.5, -0.125, -1.875, -3.55, 0.5, 1.9749999999999996]",1.9749999999999996
NXST,CONSTRUCTION,19454.14,"[0.625, 0.125, 1.125, 0.7, 0.5, -1.25]",-1.25
NYKAA,TRADING,52081.24,"[-0.375, 0.8250000000000002, 1.1749999999999998, 0.725, -0.25, 0.15000000000000002]",0.15000000000000002
OAL,CHEMICALS,1043.25,"[1.0499999999999998, 0.75, 0.375, 0.375, 0.0, 1.5]",1.5
OBEROIRLTY,CONSTRUCTION,58258.16000000001,"[-3.2, -2.2249999999999996, -4.625, -1.5999999999999996, -1.2000000000000002, 0.0]",0.0
OFSS,COMPUTERS,67666.34,"[2.175, 1.125, 0.75, -1.125, -3.05, -2.15]",-2.15
OIL,OIL DRILLING / ALLIED SERVICES,59208.5,"[-0.32499999999999996, -0.5, -0.25, -0.25, 0.0, -1.5]",-1.5
OLAELEC,AUTOMOBILES,22270.27,"[-2.25, -3.0999999999999996, -2.2, -1.25, -1.0, -0.25]",-0.25
OLECTRA,AUTOMOBILES,9664.97,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
OMAXE,CONSTRUCTION,1406.87,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
OMINFRAL,ENGINEERING,1167.23,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ONEPOINT,COMPUTERS,1553.66,"[-1.125, 0.8250000000000002, 0.2999999999999998, 0.375, 0.0, 0.375]",0.375
ONESOURCE,MISCELLANEOUS,17940.75,"[-0.4249999999999998, 1.375, 1.2999999999999998, 1.875, 1.4249999999999998, 1.125]",1.125
ONGC,OIL DRILLING / ALLIED SERVICES,293372.16,"[-0.25, -0.32499999999999996, -2.625, -2.0, -3.0, -1.6749999999999998]",-1.6749999999999998
ONWARDTEC,COMPUTERS,552.18,"[0.75, 0.375, 0.375, 0.0, 0.0, 0.0]",0.0
OPTIEMUS,TRADING,3904.1400000000003,"[-0.75, -0.6749999999999998, -0.375, -0.375, -0.375, 1.5]",1.5
ORCHPHARMA,PHARMACEUTICALS,3829.28,"[0.375, 1.5, 1.0499999999999998, -0.75, -0.6749999999999998, -0.375]",-0.375
ORICONENT,PACKAGING,628.99,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ORIENTCEM,CEMENT,7356.280000000001,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ORIENTELEC,DOMESTIC APPLIANCES,4494.53,"[1.45, 1.0, 0.5, 0.25, 1.0, 0.7]",0.7
ORIENTHOT,HOTELS,2568.26,"[-1.5, -1.0499999999999998, -0.75, -0.375, 1.125, 1.0499999999999998]",1.0499999999999998
ORIENTTECH,COMPUTERS,1528.25,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ORIRAIL,MISCELLANEOUS,1051.02,"[0.0, -0.2999999999999998, -0.375, -1.875, -1.4249999999999998, -0.75]",-0.75
ORISSAMINE,MINING / MINERALS / METALS,2920.05,"[-0.75, -0.6749999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
OSWALAGRO,TRADING,1132.91,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
OSWALGREEN,FINANCE & INVESTMENTS,920.15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PAGEIND,TEXTILES,50635.94,"[-0.5499999999999998, 1.0, 0.9249999999999998, 1.875, 1.4249999999999998, 2.125]",2.125
PAISALO,FINANCE & INVESTMENTS,2971.56,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
PAKKA,PAPER,784.33,"[1.0499999999999998, 0.75, 0.375, 0.375, 0.0, 0.0]",0.0
PANACEABIO,PHARMACEUTICALS,2905.45,"[0.375, 0.375, 0.0, 0.0, 0.0, 0.0]",0.0
PANAMAPET,PETROCHEMICALS,2253.71,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
PANORAMA,ENTERTAINMENT / ELECTRONIC MEDIA SOFTWARE,1276.9,"[1.4249999999999998, 1.125, 0.375, 0.375, 0.0, 0.0]",0.0
PARACABLES,CABLES,1560.55,"[0.0, 0.0, 0.0, -1.5, -1.0499999999999998, -0.75]",-0.75
PARADEEP,FERTILIZERS,10240.83,"[-2.475, 1.0, -1.4000000000000004, -1.0, -1.125, 0.125]",0.125
PARAGMILK,FOOD,2181.6,"[-1.125, -0.6749999999999998, -0.75, -0.375, -0.375, 1.5]",1.5
PARAS,ENGINEERING,4213.97,"[0.0, 1.5, 2.55, 1.7999999999999998, 1.125, 0.75]",0.75
PARKHOTELS,HOTELS,3027.81,"[1.0499999999999998, 0.75, 0.375, 0.375, 0.0, 0.0]",0.0
PARSVNATH,CONSTRUCTION,1083.14,"[0.375, 0.375, 0.0, -1.5, -1.0499999999999998, -0.75]",-0.75
PATANJALI,SOLVENT EXTRACTION,69203.06,"[-1.9249999999999998, -2.85, -3.3, -2.3, -3.25, -2.15]",-2.15
