S.No.,Name,CMP Rs.,All time high Rs.,No. Eq. Shares Cr.,Sales Qtr Rs.Cr.,NP Qtr Rs.Cr.,Qtr Profit Var %,Qtr Sales Var %,Exp Qtr Sales Var %,Sales Rs.Cr.,EBIT 12M Rs.Cr.,PAT 12M Rs.Cr.,Sales growth %,Profit growth %,ROE %,ROCE %,ROA 12M %,Sales Var 3Yrs %,Profit Var 3Yrs %,ROE 3Yr %,ROCE3yr avg %,ROA 3Yr %,EPS 12M Rs.,P/E,CMP / BV,CMP / Sales,PEG,Curr price to Graham,Cur price to Int val,Div Yld %,Dividend Payout %,CF Opr 3Yrs Rs.Cr.,CF Operations Rs.Cr.,CF Investing Rs.Cr.,CF Financing Rs.Cr.,Net CF Rs.Cr.,Free Cash Flow Rs.Cr.,Free Cash Flow 3Yrs Rs.Cr.,Int Coverage,Debt / Eq,Asset Turnover,Inven TO,EV / EBITDA,Unpledged Prom Hold %,Chg in Prom Hold 3Yr %,Change in Prom Hold %,Chg in FII Hold %,Chg in DII Hold %,Piotski Scr,Altman Z Scr,G Factor,Ind PE,Mar Cap Rs.Cr.,Vol 1d,BSE Code,NSE Code,Industry,Drop_from_AT_high,Strat_AT_HIGH
288.0,Anant Raj,460.55,947.9,34.33,540.65,118.79,51.46,22.16,40.04,2059.97,501.52,425.54,38.88,63.12,10.89,11.17,8.43,64.61,100.02,8.45,8.5,5.9,12.4,37.15,3.86,7.67,0.48,2.5,1.31,0.16,5.89,103.97,96.61,-72.13,0.53,25.01,19.89,-40.17,45.63,0.12,0.41,1.16,29.97,60.16,-4.83,0.16,-0.19,-0.14,6.0,7.17,4.0,33.15,15808.84,1164430,515055.0,ANANTRAJ,Construction,-0.51,Big_drop_AT_HIGH_MARCAP2K
289.0,Neuland Labs.,12233.9,18100.0,1.28,398.03,101.59,-29.67,1.32,-0.15,1533.48,332.39,239.96,-2.98,-24.32,26.39,33.26,17.61,18.49,61.87,18.46,21.21,11.17,233.72,65.38,11.26,10.24,0.83,5.12,2.88,0.13,6.02,558.78,261.18,-149.74,-69.28,42.16,118.77,254.48,34.77,0.08,0.91,2.0,39.54,32.68,-3.54,0.0,-1.74,1.88,8.0,15.65,3.0,27.34,15695.94,28605,524558.0,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,-0.32,Other
290.0,Sarda Energy,442.9,565.55,35.24,1319.14,200.08,70.51,42.55,11.13,4293.26,1056.88,679.69,5.87,25.37,14.11,15.28,8.98,20.72,11.22,20.28,21.14,12.2,19.46,23.0,2.62,3.64,1.11,1.63,1.56,0.24,6.74,2370.97,752.3,-434.28,-221.83,96.19,487.2,1616.38,5.95,0.48,0.67,3.98,13.49,73.16,0.66,0.0,0.8,-0.56,6.0,4.29,6.0,22.74,15606.99,731735,504614.0,SARDAEN,Steel - Medium / Small,-0.22,Other
291.0,Whirlpool India,1227.25,2787.0,12.69,1704.85,44.53,57.06,11.02,13.44,7648.69,500.69,330.23,13.01,63.38,6.36,9.07,3.95,5.0,-13.41,7.25,9.31,4.41,25.02,47.14,4.08,2.04,-4.31,3.0,3.67,0.4,29.23,977.52,610.1,61.76,-116.77,555.09,544.31,564.31,12.81,0.01,1.14,3.35,18.26,51.0,-24.0,0.0,1.02,-2.7,9.0,6.91,3.0,49.77,15570.34,345033,500238.0,WHIRLPOOL,Domestic Appliances,-0.56,Big_drop_AT_HIGH_MARCAP2K
292.0,DCM Shriram,997.55,1371.1,15.59,3366.81,262.14,9.01,10.93,3.94,11599.87,958.87,543.16,3.17,5.27,6.6,8.99,3.77,9.55,-14.26,13.62,17.51,8.27,34.83,28.62,2.32,1.34,-2.06,1.73,1.71,0.67,23.14,3314.5,793.81,-1070.09,169.35,-106.93,-514.49,-529.04,6.72,0.33,0.98,2.98,11.99,66.52,0.0,0.0,0.11,0.12,4.0,4.26,2.0,28.15,15556.04,60972,523367.0,DCMSHRIRAM,Diversified - Mega,-0.27,Other
293.0,Niva Bupa Health,85.09,109.41,182.7,1258.02,13.24,189.08,22.65,,4195.57,81.86,81.85,32.55,552.71,5.69,4.85,1.63,43.73,53.91,-3.86,-7.76,-2.16,,189.9,7.56,3.71,,,,0.0,0.0,1742.86,812.53,-1881.59,1110.02,40.96,779.7,1643.45,,0.12,0.83,,140.97,55.98,,0.0,0.05,-0.11,8.0,3.9,4.0,49.53,15546.2,1764968,544286.0,NIVABUPA,Finance & Investments,-0.22,Other
294.0,Bata India,1204.45,2262.0,12.85,918.79,58.7,13.83,1.7,1.16,3498.43,582.58,355.69,1.13,23.0,19.76,18.66,8.85,26.75,77.06,14.66,15.53,7.11,27.11,43.54,10.56,4.42,-18.37,4.56,5.71,1.0,58.75,1293.44,453.11,40.36,-517.95,-24.48,355.22,1058.15,4.67,0.98,1.05,1.69,17.49,50.16,-2.8,0.0,-0.55,0.31,5.0,9.6,2.0,59.25,15480.48,232686,500043.0,BATAINDIA,Leather / Leather Products,-0.47,Big_drop_AT_HIGH_MARCAP2K
295.0,CIE Automotive,405.65,628.45,37.94,2272.63,206.4,-10.51,-6.35,-4.88,8809.9,1121.97,796.11,-4.93,-1.42,13.15,16.59,8.47,9.84,27.51,11.0,16.52,6.35,21.18,19.31,2.35,1.75,1.05,1.41,1.76,1.74,32.09,3382.34,880.84,-236.76,-552.72,91.36,500.17,2046.15,16.45,0.09,0.92,4.52,10.76,65.7,-6.47,0.0,-0.09,0.19,6.0,4.8,5.0,27.38,15388.83,1116637,532756.0,CIEINDIA,Castings & Forgings,-0.35,Other
296.0,Afcons Infrastr.,416.35,570.0,36.78,3211.1,148.85,35.68,2.73,,13267.5,1261.91,458.08,4.99,7.55,14.49,23.13,3.0,12.27,38.73,16.05,22.24,2.99,13.2,33.43,4.06,1.15,,2.38,2.43,0.0,18.94,2533.35,707.45,-859.03,245.52,93.94,25.09,589.2,2.19,0.92,0.87,2.87,10.27,28.36,,0.0,0.21,0.95,4.0,3.01,5.0,19.92,15312.74,3645752,544280.0,AFCONS,Construction,-0.27,Other
297.0,Concord Biotech,1457.45,2664.0,10.46,244.22,74.09,-0.62,1.42,12.63,1089.17,442.61,328.24,12.22,9.04,20.89,27.87,18.31,18.13,8.54,19.24,25.03,16.32,31.38,46.44,9.6,14.0,2.29,4.45,2.16,0.56,30.03,718.94,265.47,-154.61,-99.21,11.64,179.96,332.94,491.79,0.0,0.63,1.59,30.73,44.08,,0.0,1.02,-0.49,8.0,17.07,2.0,29.05,15247.28,120766,543960.0,CONCORDBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,-0.45,Other
298.0,Natco Pharma,850.55,1639.0,17.91,474.8,132.4,-37.75,-37.41,17.35,4276.8,2283.0,1863.7,11.71,45.85,25.92,30.1,22.13,24.9,49.38,15.78,17.22,12.64,104.13,8.2,2.15,3.56,0.48,0.88,0.9,1.12,12.25,2107.2,1211.6,-1026.2,-246.9,-61.5,854.9,1386.5,114.72,0.03,0.64,1.12,5.61,49.56,0.75,-0.06,-0.45,0.05,6.0,6.21,3.0,29.05,15234.15,614375,524816.0,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,-0.48,Big_drop_AT_HIGH_MARCAP2K
299.0,T R I L,503.1,650.22,30.02,676.48,94.2,129.45,31.94,60.19,2016.93,332.03,211.8,56.23,378.72,23.45,27.97,12.75,20.31,147.62,16.93,19.19,6.8,7.14,71.37,12.11,7.49,0.28,6.15,3.79,0.04,2.8,214.11,156.58,-625.11,472.19,3.66,-74.74,-41.58,6.56,0.23,1.2,3.87,42.38,50.3,-10.55,0.0,0.25,-0.46,5.0,13.58,5.0,47.57,15101.41,1013059,532928.0,TARIL,Electric Equipment,-0.23,Other
300.0,KIOCL,248.05,577.35,60.78,180.55,-47.79,-222.44,-67.14,-59.26,716.25,-171.67,-210.63,-67.69,-603.78,-4.32,-2.18,-3.12,-7.94,,2.15,4.21,1.83,-3.47,,8.37,21.05,,,,0.0,0.0,-134.71,104.73,-127.39,-372.44,-395.1,8.66,-944.25,-11.48,0.12,0.68,3.71,-109.08,99.03,0.0,0.0,0.02,0.0,7.0,12.02,4.0,16.86,15075.26,145297,540680.0,KIOCL,Mining / Minerals / Metals,-0.57,Big_drop_AT_HIGH_MARCAP2K
301.0,Jupiter Wagons,354.7,748.1,42.45,1000.04,97.86,17.34,11.63,25.53,3981.53,555.3,379.93,22.89,41.05,27.36,31.67,15.0,54.06,83.86,19.38,22.61,9.69,9.08,39.61,5.9,3.78,0.49,3.2,1.04,0.28,7.43,126.06,-6.35,-486.72,489.12,-3.95,-97.2,-66.25,11.14,0.16,1.64,4.11,25.58,68.11,7.46,0.0,0.42,-0.02,6.0,9.26,4.0,34.21,15056.96,1624231,533272.0,JWL,Engineering,-0.53,Big_drop_AT_HIGH_MARCAP2K
302.0,Sai Life,721.0,808.8,20.84,439.78,53.85,35.95,14.64,,1465.18,196.78,82.8,20.38,710.97,8.89,10.57,3.73,24.46,10.66,3.28,6.54,1.31,,181.51,,10.26,75.0,,,0.0,0.0,587.36,263.09,-191.35,-95.3,-23.56,82.25,128.44,2.25,0.95,0.66,4.36,49.96,34.23,,-0.07,0.64,1.31,8.0,12.53,2.0,35.09,15027.15,332479,544306.0,SAILIFE,Miscellaneous,-0.11,Other
303.0,Blue Dart Expres,6332.5,9640.0,2.37,1511.69,81.01,-8.86,9.31,9.0,5625.73,452.86,275.05,8.99,-6.02,22.74,19.22,8.67,17.01,35.71,34.7,25.53,11.54,115.92,54.64,10.55,2.67,2.08,5.06,5.18,0.4,19.73,2423.26,846.73,-374.64,-401.23,70.86,585.42,1421.52,5.54,0.77,1.58,8.85,17.27,75.0,0.0,0.0,-0.52,0.55,5.0,9.35,4.0,54.01,15027.04,8936,526612.0,BLUEDART,Couriers,-0.34,Other
304.0,International Ge,343.85,642.3,43.22,234.2,139.14,10.87,12.19,,785.42,589.21,439.25,23.45,33.21,32.49,43.1,28.68,29.13,35.39,48.83,87.24,53.14,10.16,33.8,6.79,18.92,0.77,3.2,0.72,0.71,24.01,875.54,378.4,-1633.72,1209.8,-45.51,351.87,801.81,247.57,0.01,0.51,5.37,24.18,76.55,,0.0,0.77,0.01,5.0,12.39,4.0,26.8,14859.79,893763,,,Unmapped,-0.46,Big_drop_AT_HIGH_MARCAP2K
305.0,Jindal Saw,232.15,383.85,63.95,5046.59,86.92,-81.91,-6.98,-0.05,20828.89,2972.41,1458.04,-0.61,-8.68,13.56,19.21,7.03,16.13,57.41,12.85,17.2,6.01,27.18,10.26,1.32,0.71,0.44,0.7,0.5,0.81,7.36,6543.9,2335.16,-898.83,-1523.56,-87.23,1324.29,4445.03,4.77,0.43,1.0,2.41,5.3,63.28,0.25,0.0,1.26,-0.29,6.0,3.74,3.0,17.75,14846.12,1777534,500378.0,JINDALSAW,Steel - Large,-0.4,Other
306.0,Ircon Intl.,157.65,351.65,94.05,2612.86,86.1,-64.81,-10.81,-9.99,11134.51,1229.65,762.7,-10.64,-18.79,16.37,18.15,5.5,32.09,32.84,15.08,15.95,5.07,8.12,19.4,2.39,1.33,1.25,1.44,0.95,1.95,31.36,1057.59,-78.55,-719.88,640.1,-158.33,-886.78,111.37,6.22,0.55,0.75,2.37,10.73,65.17,-8.01,0.0,0.02,0.13,6.0,2.94,5.0,19.92,14827.31,6558594,541956.0,IRCON,Construction,-0.55,Big_drop_AT_HIGH_MARCAP2K
307.0,EID Parry,830.0,997.6,17.78,8720.35,415.57,64.82,12.23,0.07,30354.53,2464.68,812.14,-1.18,-5.38,13.53,20.29,7.94,16.6,22.98,15.84,24.67,9.7,45.74,18.17,1.97,0.49,0.44,1.27,1.01,0.49,7.89,4609.33,1972.37,-1740.12,-497.41,-265.16,1048.77,2523.74,6.8,0.23,1.46,3.52,4.51,41.61,-3.03,-0.08,-0.47,0.54,6.0,3.66,7.0,15.2,14755.61,210494,500125.0,EIDPARRY,Sugar,-0.17,Other
308.0,BLS Internat.,354.55,522.3,41.17,512.85,127.91,42.72,17.12,17.1,1948.24,551.58,453.84,16.12,59.83,31.09,31.02,25.39,51.91,84.12,28.4,28.29,23.73,11.02,32.17,10.18,7.49,0.97,3.82,2.66,0.28,13.15,795.71,349.85,-260.06,257.4,347.18,286.08,582.24,28.67,0.27,1.31,1.85,22.66,70.38,-4.21,0.0,-0.99,0.9,6.0,12.71,5.0,30.98,14598.26,2936128,540073.0,BLS,Computers - Software - Medium / Small,-0.32,Other
309.0,Newgen Software,1026.7,1798.9,14.16,429.89,108.34,2.92,14.55,19.69,1486.88,406.74,315.24,19.54,26.37,23.01,28.62,16.9,24.05,24.55,21.97,26.28,15.91,22.26,46.11,9.58,9.78,1.35,4.43,2.13,0.4,22.24,632.74,214.98,-172.12,-68.09,-25.23,191.89,579.33,85.27,0.04,0.8,,32.24,53.78,-1.38,-0.52,-0.95,0.03,7.0,14.52,4.0,30.98,14540.61,10549350,540900.0,NEWGEN,Computers - Software - Medium / Small,-0.43,Other
310.0,Jubilant Pharmo,906.0,1309.9,15.93,1821.7,100.7,73.07,8.62,6.72,7064.3,787.6,333.13,6.67,810.2,0.76,6.74,0.37,3.2,-63.72,0.55,6.52,0.35,39.37,43.28,2.42,2.04,-0.98,1.58,2.46,0.55,102.46,2469.54,971.3,-596.3,-432.5,-57.5,83.3,189.17,3.02,0.52,0.6,1.71,14.14,50.68,0.0,0.0,0.27,0.06,8.0,3.63,3.0,27.34,14432.6,161809,530019.0,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,-0.31,Other
311.0,Elgi Equipments,454.7,799.0,31.69,847.59,80.58,-3.93,3.13,6.23,3383.45,483.56,324.38,6.15,-20.05,20.62,22.28,11.63,18.7,44.35,20.92,21.86,11.2,10.24,44.41,8.35,4.26,1.82,4.06,4.44,0.44,20.32,522.17,287.7,-101.02,-81.96,104.72,245.86,399.52,15.04,0.3,1.22,2.61,25.51,30.98,-0.13,0.0,-0.31,-0.09,7.0,11.63,3.0,43.98,14409.86,266237,522074.0,ELGIEQUIP,Compressors / Drilling Equipment,-0.43,Other
312.0,Anand Rathi Wea.,1734.75,2323.0,8.3,221.96,73.73,29.77,20.45,29.91,939.09,416.35,299.83,24.91,33.28,45.33,56.26,32.68,30.33,33.46,42.64,52.66,31.08,36.12,48.01,21.35,15.34,1.29,6.75,1.92,0.6,38.76,605.51,244.05,46.0,-279.1,10.95,208.28,552.86,36.08,0.12,1.02,,32.68,45.25,-1.53,-0.7,-0.9,-0.6,5.0,27.79,6.0,20.17,14402.03,72629,543415.0,ANANDRATHI,Finance & Investments,-0.25,Other
313.0,Action Const.Eq.,1196.6,1695.0,11.91,875.11,111.68,26.56,16.2,19.71,3201.9,556.89,389.1,18.95,40.54,30.58,42.3,17.44,33.41,63.04,23.16,29.99,12.46,32.67,36.65,10.34,4.45,0.86,4.09,1.56,0.17,7.26,811.22,433.42,-368.04,-38.66,26.73,268.14,565.25,15.7,0.08,1.55,4.18,24.46,65.41,-1.35,0.0,-0.33,0.21,8.0,13.04,6.0,34.21,14249.44,171484,532762.0,ACE,Engineering,-0.29,Other
314.0,Gravita India,1930.0,2700.0,7.38,1037.07,94.92,37.61,20.11,22.94,3868.77,406.83,312.39,22.4,30.07,21.49,21.63,15.2,20.41,30.45,28.54,27.05,17.14,42.32,45.59,6.93,3.68,0.93,3.73,1.68,0.32,15.0,524.24,282.18,-863.63,640.25,58.8,175.39,213.06,9.38,0.14,1.88,4.91,32.4,59.27,-13.73,0.0,-0.09,0.03,4.0,13.15,5.0,29.96,14245.03,354039,533282.0,GRAVITA,Mining / Minerals / Metals,-0.29,Other
315.0,Caplin Point Lab,1868.25,2641.0,7.6,492.96,140.07,18.57,13.19,15.86,1888.24,646.72,514.96,15.83,17.91,24.23,26.46,18.83,16.87,24.21,25.31,26.99,19.27,67.81,27.62,5.61,7.52,1.31,2.62,1.22,0.27,8.31,926.49,318.39,-319.18,-38.07,-38.86,172.57,496.02,1096.14,0.0,0.69,2.33,19.2,70.56,1.67,0.0,0.87,-0.11,4.0,11.05,4.0,35.09,14200.9,94710,524742.0,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,-0.29,Other
316.0,Sobha,1323.1,2178.32,10.69,1224.09,21.69,43.83,78.72,20.65,3560.94,297.32,60.87,0.48,-32.86,1.97,7.12,0.38,13.65,-7.44,4.07,8.4,0.84,5.69,232.41,4.03,3.97,-7.71,6.46,6.85,0.23,57.94,2624.11,647.44,-474.93,-338.16,-165.66,523.76,2429.92,1.42,0.44,0.24,0.01,37.41,52.88,0.89,0.11,-1.12,-0.18,5.0,2.17,5.0,33.15,14146.23,171615,532784.0,SOBHA,Construction,-0.39,Other
317.0,Schneider Elect.,585.55,980.0,23.91,857.2,110.53,6.96,15.24,17.59,2521.57,367.27,203.25,17.53,-6.6,126.24,37.02,11.96,19.38,146.18,,25.93,7.72,9.06,68.89,34.97,5.55,0.5,10.03,6.35,0.0,0.0,399.88,191.92,-57.15,-107.03,27.74,134.97,279.99,5.34,1.29,1.5,4.74,36.69,75.0,0.0,0.0,0.02,0.05,8.0,15.25,3.0,47.57,14000.5,253706,534139.0,SCHNEIDER,Electric Equipment,-0.4,Other
318.0,CEAT,3456.35,3581.45,4.05,3420.62,98.71,-11.12,14.33,10.72,13217.87,929.0,492.79,10.67,-27.36,11.72,15.04,4.65,12.18,79.52,12.18,14.95,4.59,116.85,28.38,3.25,1.06,1.94,2.05,1.77,0.86,25.67,4016.71,1091.96,-922.44,-176.74,-7.22,149.39,1329.44,3.34,0.49,1.25,6.43,10.77,47.21,0.1,0.0,-0.55,0.98,5.0,3.92,5.0,28.45,13980.94,742491,500878.0,CEATLTD,Tyres,-0.03,Other
319.0,Kirl. Brothers,1753.6,2684.7,7.94,1144.2,118.5,51.06,18.59,13.77,4434.7,607.1,434.92,13.65,49.29,21.68,27.3,10.73,13.78,28.53,16.7,20.0,7.36,54.18,32.04,7.51,3.14,0.21,3.29,3.19,0.33,13.68,819.65,376.08,-184.15,-147.3,44.62,246.83,506.41,22.82,0.09,1.26,2.61,19.78,65.95,0.0,0.0,0.49,-0.61,8.0,9.9,6.0,36.31,13925.16,109244,500241.0,KIRLOSBROS,Pumps,-0.35,Other
320.0,Jyothy Labs,378.5,595.85,36.72,704.45,87.4,-3.84,3.98,4.74,2840.01,494.66,372.23,4.65,6.31,21.21,26.99,15.96,13.03,19.25,15.91,19.44,11.55,10.14,37.36,7.41,4.89,2.96,3.5,2.64,0.94,34.79,989.14,457.92,-344.37,-134.81,-21.26,443.48,941.15,89.45,0.03,1.24,4.91,25.15,62.89,0.0,0.0,-1.22,1.0,9.0,11.98,4.0,38.81,13899.04,222707,532926.0,JYOTHYLAB,Personal Care - Indian,-0.36,Other
321.0,HBL Engineering,501.0,739.65,27.72,450.56,64.67,-20.27,-24.81,10.84,2101.72,425.67,329.65,3.74,39.11,27.73,35.94,20.43,34.79,160.11,17.18,21.02,12.12,11.31,42.11,10.16,6.61,0.64,4.46,3.9,0.09,4.93,458.01,273.1,-139.38,-42.27,91.45,227.53,336.86,31.53,0.05,1.52,3.15,29.24,59.11,0.14,0.0,-0.39,-0.03,7.0,15.52,3.0,23.71,13887.51,2175244,517271.0,HBLPOWER,Auto Ancillaries,-0.32,Other
322.0,NCC,220.7,364.5,62.78,5344.52,205.86,-12.45,1.61,18.05,22553.36,1851.39,825.43,16.8,22.88,11.41,22.1,4.39,37.9,41.35,9.32,17.71,3.61,12.83,16.81,2.04,0.61,5.02,1.24,0.59,1.0,19.44,3875.11,1359.45,-318.69,-771.22,269.54,1108.67,3234.25,2.89,0.25,1.2,4.74,7.13,22.11,2.43,0.09,-4.34,1.43,7.0,3.42,4.0,19.92,13856.6,5451601,500294.0,NCC,Construction,-0.39,Other
323.0,Mahanagar Gas,1400.1,1988.55,9.88,1757.58,225.37,-28.95,12.04,5.68,6625.88,1405.41,1057.69,5.37,-18.19,27.79,36.6,19.45,42.62,27.66,22.45,28.87,15.2,107.08,13.09,2.53,2.09,0.7,1.21,0.95,2.13,22.99,3436.07,1563.1,-1266.75,-311.56,-15.21,793.28,1306.27,105.04,0.03,0.94,102.77,8.0,32.5,0.0,0.0,-1.99,2.72,8.0,5.33,7.0,15.77,13829.9,693468,539957.0,MGL,Miscellaneous,-0.3,Other
324.0,Finolex Cables,903.3,1700.0,15.29,1182.11,123.94,-2.98,-3.24,6.4,5125.33,703.58,538.76,5.95,-3.79,14.2,18.68,12.9,21.9,25.71,13.92,18.05,12.59,35.23,25.63,3.06,2.7,2.53,1.9,1.44,0.85,21.41,1406.26,576.9,-439.57,-111.66,25.67,358.37,1089.98,343.21,0.0,1.15,6.43,18.29,35.86,-0.06,0.0,-0.42,-0.18,7.0,7.94,5.0,23.87,13815.04,138424,500144.0,FINCABLES,Cables - Power,-0.47,Big_drop_AT_HIGH_MARCAP2K
325.0,PCBL Chemical,364.75,584.5,37.75,2087.49,100.19,-9.73,8.23,33.92,8404.25,1038.49,434.96,30.91,-11.36,12.53,11.86,3.78,23.64,1.27,14.81,14.49,6.1,11.51,31.66,3.66,1.64,3.42,2.29,1.16,1.49,47.77,2369.98,760.49,-690.32,-63.93,6.24,-3.87,177.03,2.25,1.51,0.73,5.12,13.69,51.41,0.03,0.0,0.34,2.23,5.0,3.49,2.0,30.33,13767.89,1466614,,,Unmapped,-0.38,Other
326.0,Rainbow Child.,1348.6,1709.6,10.16,398.08,68.94,10.56,18.49,17.18,1486.86,393.39,238.06,16.82,8.39,18.23,19.08,10.79,25.89,74.9,22.4,21.9,12.08,23.45,57.56,10.16,9.21,1.58,5.1,2.86,0.22,14.03,873.91,321.4,-226.47,-101.78,-6.85,-32.05,317.14,5.53,0.57,0.66,8.98,27.22,49.85,,0.0,-1.43,1.44,4.0,12.04,5.0,54.85,13695.26,165492,543524.0,RAINBOW,Healthcare,-0.21,Other
327.0,Force Motors,10284.9,10545.25,1.32,2356.01,434.74,26.81,17.14,15.84,8071.73,869.56,546.88,15.44,40.62,20.68,29.8,11.46,35.56,99.69,14.84,19.45,7.17,607.71,24.78,4.46,1.68,0.53,1.83,1.02,0.19,6.58,2517.66,971.47,-351.23,-561.84,58.4,606.42,1690.23,33.61,0.01,1.69,5.07,11.36,61.63,0.0,0.0,0.21,0.53,9.0,7.39,7.0,23.21,13551.6,842431,500033.0,FORCEMOT,Automobiles - LCVs / HCVs,-0.02,Other
328.0,Sanofi India,5866.7,7600.0,2.3,514.9,91.3,22.41,9.74,-5.82,2013.2,470.6,442.27,0.86,-24.94,47.15,49.16,26.59,-12.02,-8.7,40.62,44.81,26.07,179.78,30.51,15.67,6.71,-69.34,4.77,3.57,2.01,65.08,1091.2,461.7,-178.4,-392.4,-109.1,425.9,1058.5,313.73,0.02,1.21,1.7,26.09,60.4,0.0,0.0,-0.06,0.08,6.0,16.68,5.0,48.93,13511.04,14030,500674.0,SANOFI,Pharmaceuticals - Multinational,-0.23,Other
329.0,Nava,464.4,673.9,29.02,842.49,353.26,-0.62,-9.4,4.0,3889.24,1632.18,1064.38,3.01,16.9,17.85,16.27,11.11,14.43,40.1,17.57,15.99,9.44,36.64,12.61,1.84,3.47,0.4,1.01,1.25,0.43,4.62,5005.13,3173.52,-236.52,-3065.91,-128.9,3008.15,4689.57,22.07,0.09,0.37,1.98,6.71,50.13,0.62,1.24,-1.34,0.03,9.0,4.33,1.0,13.32,13476.92,436943,513023.0,NAVA,Diversified - Large,-0.31,Other
330.0,BEML Ltd,3230.0,5489.15,4.16,875.77,24.41,-49.36,-16.35,0.09,3883.34,408.65,261.77,-1.15,43.3,11.05,15.25,5.26,4.07,60.09,7.76,11.44,3.4,62.93,51.34,4.88,3.46,1.47,3.37,5.57,0.64,30.39,1068.63,457.72,-67.68,-129.8,260.23,357.73,938.65,7.84,0.24,0.76,0.93,29.34,54.03,0.0,0.0,-0.15,0.59,8.0,5.8,2.0,79.81,13451.2,507111,500048.0,BEML,Engineering,-0.41,Other
331.0,Indiamart Inter.,2240.6,4975.98,6.0,355.1,180.6,81.33,12.84,16.04,1388.4,713.2,550.7,16.01,64.49,28.09,35.7,14.53,22.6,22.8,20.07,26.13,11.04,91.73,24.43,6.15,9.69,0.81,2.58,1.34,0.89,54.48,1658.2,623.2,-486.3,-148.2,-11.3,615.4,1619.96,96.38,0.02,0.37,,17.96,49.17,-0.35,0.0,-2.11,1.64,8.0,7.35,7.0,41.8,13450.82,230606,542726.0,INDIAMART,Miscellaneous,-0.55,Big_drop_AT_HIGH_MARCAP2K
332.0,Vardhman Textile,463.1,592.25,28.92,2508.57,237.88,18.31,2.0,3.0,9784.88,1245.52,883.27,2.95,41.09,9.3,11.23,7.26,0.56,-16.96,8.7,10.48,6.62,30.54,15.14,1.36,1.37,1.68,0.95,1.28,0.86,16.1,2441.45,1643.8,-891.63,-732.91,19.26,675.07,583.24,16.12,0.13,0.8,1.36,8.83,64.22,1.29,0.01,-0.22,0.01,8.0,4.48,4.0,19.02,13391.67,154204,,,Unmapped,-0.22,Other
333.0,Alivus Life,1091.7,1335.1,12.25,641.84,136.96,15.32,12.05,-2.67,2273.94,594.04,441.7,-3.97,-14.95,21.09,28.11,16.98,6.59,10.23,23.68,33.42,17.94,36.05,30.27,5.28,5.88,1.58,2.66,0.94,2.07,58.56,1317.12,413.52,-116.48,-279.44,17.59,285.02,894.29,393.4,0.01,0.82,1.7,19.82,74.99,-7.86,-0.01,-0.17,0.33,6.0,10.1,4.0,29.05,13377.35,82836,,,Unmapped,-0.18,Other
334.0,R R Kabel,1183.0,1903.3,11.31,2217.84,129.13,64.04,26.44,15.92,7618.23,468.35,311.61,15.52,5.89,15.65,20.23,9.76,20.21,14.13,16.02,19.18,9.48,27.56,42.96,6.23,1.76,2.07,3.44,2.11,0.49,21.77,1287.14,494.4,-169.02,-191.2,134.18,128.6,626.04,7.95,0.13,2.39,6.55,24.94,61.8,,0.0,-0.66,0.42,4.0,9.97,5.0,23.87,13376.55,330028,543981.0,RRKABEL,Cables - Power,-0.38,Other
335.0,Cyient,1198.0,2458.95,11.1,1909.2,186.4,-9.94,2.6,3.03,7360.4,967.8,615.7,2.98,-15.38,12.87,16.66,8.87,17.52,5.64,15.82,19.42,9.9,55.45,21.56,2.55,1.81,1.72,1.55,1.26,2.46,46.87,2069.9,789.9,-145.1,-58.2,586.6,687.8,1824.4,10.43,0.1,1.01,2.18,10.12,23.29,-0.12,0.15,-4.38,3.81,5.0,5.57,4.0,30.98,13302.4,406822,532175.0,CYIENT,Computers - Software - Medium / Small,-0.51,Big_drop_AT_HIGH_MARCAP2K
336.0,Bombay Burmah,1897.3,2975.0,6.98,4684.91,627.3,-23.99,8.03,5.25,17940.87,3244.39,1124.1,5.19,72.27,16.33,28.31,13.06,8.5,24.43,-17.57,19.76,-0.91,157.39,11.76,2.58,0.74,4.23,1.18,0.97,0.9,1.22,5959.81,2037.93,3813.81,-5647.6,204.15,1781.1,4551.47,21.89,0.58,1.24,7.97,4.19,74.05,0.0,0.0,-0.04,-0.01,7.0,4.55,5.0,23.71,13237.84,57490,501425.0,BBTC,Auto Ancillaries,-0.36,Other
337.0,Indegene,548.05,736.6,24.0,755.6,117.6,26.32,12.27,9.69,2839.3,561.3,406.7,9.64,21.42,20.11,24.22,13.85,19.48,28.85,24.09,28.72,14.31,16.95,32.27,5.02,4.63,0.48,2.69,0.77,0.0,11.78,1079.8,441.9,-682.7,287.5,46.7,411.9,1020.3,25.51,0.04,0.97,,20.08,0.0,,0.0,0.21,0.97,6.0,9.56,5.0,43.73,13153.63,427082,544172.0,INDGN,Miscellaneous,-0.26,Other
