S.No.,Name,CMP Rs.,All time high Rs.,No. Eq. Shares Cr.,Sales Qtr Rs.Cr.,NP Qtr Rs.Cr.,Qtr Profit Var %,Qtr Sales Var %,Exp Qtr Sales Var %,Sales Rs.Cr.,EBIT 12M Rs.Cr.,PAT 12M Rs.Cr.,Sales growth %,Profit growth %,ROE %,ROCE %,ROA 12M %,Sales Var 3Yrs %,Profit Var 3Yrs %,ROE 3Yr %,ROCE3yr avg %,ROA 3Yr %,EPS 12M Rs.,P/E,CMP / BV,CMP / Sales,PEG,Curr price to Graham,Cur price to Int val,Div Yld %,Dividend Payout %,CF Opr 3Yrs Rs.Cr.,CF Operations Rs.Cr.,CF Investing Rs.Cr.,CF Financing Rs.Cr.,Net CF Rs.Cr.,Free Cash Flow Rs.Cr.,Free Cash Flow 3Yrs Rs.Cr.,Int Coverage,Debt / Eq,Asset Turnover,Inven TO,EV / EBITDA,Unpledged Prom Hold %,Chg in Prom Hold 3Yr %,Change in Prom Hold %,Chg in FII Hold %,Chg in DII Hold %,Piotski Scr,Altman Z Scr,G Factor,Ind PE,Mar Cap Rs.Cr.,Vol 1d,BSE Code,NSE Code,Industry,Drop_from_AT_high,Strat_AT_HIGH
32.0,Varun Beverages,536.5,682.84,338.19,5566.94,731.36,35.22,28.94,29.24,21257.27,4092.98,2783.85,29.09,28.64,22.49,24.85,14.03,31.38,55.35,28.18,27.02,15.08,8.46,65.2,10.98,8.54,1.57,5.55,2.62,0.18,13.03,7561.91,3381.1,-4310.56,2953.54,2024.07,-359.27,-1122.28,10.29,0.17,1.04,3.86,35.47,60.21,-4.66,0.03,-2.29,2.19,6.0,15.32,6.0,31.51,181437.1,10721140,540180.0,VBL,Food - Processing - Indian,-0.21,Other
33.0,Hindustan Zinc,428.6,807.7,422.53,9041.0,2976.0,45.74,19.75,17.52,33969.0,14658.0,10342.17,17.4,33.03,72.52,60.81,30.27,4.89,2.61,55.08,52.48,26.3,24.33,17.51,13.67,5.33,1.9,3.27,1.29,6.71,41.1,42636.0,14127.0,-2658.0,-11426.0,43.0,9814.0,31365.0,13.19,0.82,0.99,1.38,10.49,4.12,-1.52,0.0,0.05,0.02,8.0,11.54,6.0,29.96,181097.16,2005218,500188.0,HINDZINC,Mining / Minerals / Metals,-0.47,Big_drop_AT_HIGH_MARCAP2K
34.0,SBI Life Insuran,1776.15,1936.0,100.21,23070.95,813.51,0.33,-36.37,5.43,116888.42,2692.6,2413.3,-11.44,44.54,15.13,16.88,0.56,12.1,17.02,13.52,14.94,0.53,24.08,73.75,10.43,1.52,6.54,5.86,7.07,0.15,11.21,83324.56,25546.65,-21788.85,-214.81,3542.99,25440.92,83015.07,,0.0,0.27,,65.42,55.38,-0.31,-0.01,-0.6,0.76,7.0,0.96,2.0,49.53,177994.17,1431041,540719.0,SBILIFE,Finance & Investments,-0.08,Other
35.0,DLF,691.0,1225.0,247.53,1528.71,1058.73,23.19,0.49,26.62,7000.92,2698.23,3753.34,21.79,58.15,6.95,5.74,4.8,5.88,32.5,5.71,5.06,3.95,16.18,45.54,4.21,24.43,2.74,2.84,4.76,0.73,45.38,7745.89,2538.81,-1528.93,176.61,1186.48,3166.37,8171.54,6.98,0.11,0.12,0.0,60.92,74.08,-0.87,0.0,-0.1,-0.15,6.0,5.89,3.0,33.15,171044.06,3917040,532868.0,DLF,Construction,-0.44,Other
36.0,Jio Financial,259.95,394.7,635.33,493.24,316.11,1.76,17.97,10.58,2042.91,1954.56,1612.59,10.15,0.5,1.23,1.47,1.16,,,,1.51,,2.54,102.42,1.33,80.84,,2.47,3.0,0.0,19.7,-8706.06,-10083.39,6406.18,3962.35,285.14,-10125.19,-8748.65,255.5,0.03,0.01,,83.48,47.12,,0.0,-3.96,1.75,4.0,3.37,2.0,20.17,165153.61,21342164,,,Unmapped,-0.34,Other
37.0,Vedanta,419.45,527.0,391.04,40455.0,4961.0,142.23,13.93,6.83,152968.0,34923.0,13946.31,6.43,279.04,38.78,27.0,9.76,4.84,-10.06,22.94,22.67,6.96,38.33,11.74,3.96,1.07,-15.45,1.39,1.26,10.33,113.48,108281.0,39562.0,-19190.0,-19223.0,1149.0,22848.0,61356.0,3.52,1.82,0.78,5.21,5.03,0.0,-13.3,0.0,-0.87,0.89,8.0,2.89,7.0,16.86,164021.21,16656044,,,Unmapped,-0.2,Other
38.0,Divi's Lab.,6148.5,6448.75,26.55,2319.0,589.0,64.53,25.01,21.22,9078.0,2768.0,2067.0,21.15,49.46,12.17,16.48,10.73,4.02,-6.91,17.79,23.64,16.14,77.86,78.97,11.85,17.98,22.89,6.46,4.66,0.48,49.69,5631.8,1261.0,-269.0,-799.0,193.0,258.0,3442.6,922.67,0.0,0.53,1.19,50.55,51.89,-0.05,0.0,0.03,0.19,5.0,19.78,4.0,27.34,163223.37,1018816,532488.0,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,-0.05,Other
39.0,HDFC Life Insur.,738.95,775.65,215.3,24190.65,475.36,15.48,-13.73,1.23,96921.74,1289.74,1810.82,-4.49,15.04,11.75,7.43,0.56,13.03,10.92,10.92,7.87,0.57,8.41,87.84,9.84,1.64,12.73,6.2,8.82,0.27,24.97,33201.59,15597.07,-13638.24,1607.47,3566.3,15299.92,32684.19,,0.18,0.3,,124.23,50.32,-1.21,0.0,-0.18,0.38,7.0,1.08,1.0,49.53,159095.05,3420399,540777.0,HDFCLIFE,Finance & Investments,-0.05,Other
40.0,Pidilite Inds.,3040.3,3415.0,50.86,3368.91,557.08,8.22,7.63,6.03,12901.02,2793.78,2003.89,6.0,17.06,22.82,29.74,15.95,19.3,16.29,20.7,26.28,14.03,38.43,77.22,17.67,11.99,5.64,7.9,7.08,0.52,47.06,5236.97,2724.03,-1769.29,-742.45,212.29,2171.08,3812.33,56.53,0.04,1.1,3.78,48.81,69.5,-0.44,-0.1,-0.19,0.28,6.0,22.41,4.0,30.33,154644.46,265074,500331.0,PIDILITIND,Chemicals,-0.11,Other
41.0,Eicher Motors,5435.0,5907.85,27.42,4973.12,1170.5,17.52,19.01,11.48,17885.28,5703.06,4442.74,11.2,15.81,24.23,31.14,18.92,23.77,43.73,20.3,25.58,15.45,162.14,33.54,7.84,8.33,2.65,3.42,2.03,0.95,34.9,8073.41,3723.71,-2833.93,-844.36,45.42,2909.35,5946.64,105.34,0.02,0.78,6.75,23.33,49.08,-0.13,-0.01,-0.4,0.44,7.0,12.48,5.0,45.99,149008.18,706663,505200.0,EICHERMOT,Automobiles - Motorcycles / Mopeds,-0.08,Other
